MAC,RSSI,Monotonic,UTC (ESP),UTC Now (SYS),UTC Now (NTP),Time sync,UTC NTP - UTC ESP
80:2b:17:12:45:6f,-55,203152,2026-04-02 20:44:05.310000,2026-04-02 20:44:09.241818,2026-04-02 20:44:09.513941,True,4203.941
7e:97:1b:0d:4b:7d,-65,203231,2026-04-02 20:44:05.389000,2026-04-02 20:44:09.241818,2026-04-02 20:44:09.514951,True,4125.951
1d:a8:40:2d:17:f8,-83,203232,2026-04-02 20:44:05.390000,2026-04-02 20:44:09.242826,2026-04-02 20:44:09.514951,True,4124.951
06:18:45:30:4c:79,-69,203302,2026-04-02 20:44:05.460000,2026-04-02 20:44:09.242826,2026-04-02 20:44:09.515959,True,4055.959
80:2b:17:12:45:6f,-59,203700,2026-04-02 20:44:05.858000,2026-04-02 20:44:09.243835,2026-04-02 20:44:09.516968,True,3658.968
0f:6c:8a:86:6f:33,-85,203700,2026-04-02 20:44:05.858000,2026-04-02 20:44:09.244850,2026-04-02 20:44:09.516968,True,3658.968
7e:97:1b:0d:4b:7d,-67,203802,2026-04-02 20:44:05.960000,2026-04-02 20:44:09.244850,2026-04-02 20:44:09.517983,True,3557.983
06:18:45:30:4c:79,-83,203852,2026-04-02 20:44:06.010000,2026-04-02 20:44:09.245921,2026-04-02 20:44:09.517983,True,3507.983
bd:97:72:cf:03:d2,-72,203902,2026-04-02 20:44:06.060000,2026-04-02 20:44:09.245921,2026-04-02 20:44:09.519054,True,3459.054
49:1f:eb:cd:ba:d4,-77,204002,2026-04-02 20:44:06.160000,2026-04-02 20:44:09.246931,2026-04-02 20:44:09.520064,True,3360.064
06:18:45:30:4c:79,-77,204052,2026-04-02 20:44:06.210000,2026-04-02 20:44:09.247939,2026-04-02 20:44:09.520064,True,3310.064
80:2b:17:12:45:6f,-52,204252,2026-04-02 20:44:06.410000,2026-04-02 20:44:09.247939,2026-04-02 20:44:09.521072,True,3111.072
7e:97:1b:0d:4b:7d,-67,204352,2026-04-02 20:44:06.510000,2026-04-02 20:44:09.248960,2026-04-02 20:44:09.521072,True,3011.072
49:1f:eb:cd:ba:d4,-62,204502,2026-04-02 20:44:06.660000,2026-04-02 20:44:09.249968,2026-04-02 20:44:09.522093,True,2862.093
b2:df:f9:76:1f:e1,-79,204552,2026-04-02 20:44:06.710000,2026-04-02 20:44:09.249968,2026-04-02 20:44:09.523101,True,2813.101
06:18:45:30:4c:79,-81,204602,2026-04-02 20:44:06.760000,2026-04-02 20:44:09.251048,2026-04-02 20:44:09.523101,True,2763.101
7e:97:1b:0d:4b:7d,-63,204652,2026-04-02 20:44:06.810000,2026-04-02 20:44:09.251048,2026-04-02 20:44:09.524181,True,2714.181
80:2b:17:12:45:6f,-55,204802,2026-04-02 20:44:06.960000,2026-04-02 20:44:09.252143,2026-04-02 20:44:09.524181,True,2564.181
1d:a8:40:2d:17:f8,-82,204901,2026-04-02 20:44:07.059000,2026-04-02 20:44:09.253161,2026-04-02 20:44:09.525276,True,2466.276
7e:97:1b:0d:4b:7d,-65,204901,2026-04-02 20:44:07.059000,2026-04-02 20:44:09.253161,2026-04-02 20:44:09.526294,True,2467.294
7e:97:1b:0d:4b:7d,-64,205197,2026-04-02 20:44:07.355000,2026-04-02 20:44:09.254171,2026-04-02 20:44:09.527304,True,2172.304
89:a1:41:12:24:62,-84,205197,2026-04-02 20:44:07.355000,2026-04-02 20:44:09.255178,2026-04-02 20:44:09.527304,True,2172.304
06:18:45:30:4c:79,-90,205340,2026-04-02 20:44:07.498000,2026-04-02 20:44:09.255178,2026-04-02 20:44:09.528311,True,2030.311
80:2b:17:12:45:6f,-62,205340,2026-04-02 20:44:07.498000,2026-04-02 20:44:09.256234,2026-04-02 20:44:09.529367,True,2031.367
49:1f:eb:cd:ba:d4,-63,205452,2026-04-02 20:44:07.610000,2026-04-02 20:44:09.256234,2026-04-02 20:44:09.529367,True,1919.367
89:a1:41:12:24:62,-85,205485,2026-04-02 20:44:07.643000,2026-04-02 20:44:09.257515,2026-04-02 20:44:09.530648,True,1887.648
1d:a8:40:2d:17:f8,-81,205485,2026-04-02 20:44:07.643000,2026-04-02 20:44:09.258523,2026-04-02 20:44:09.530648,True,1887.648
7e:97:1b:0d:4b:7d,-66,205752,2026-04-02 20:44:07.910000,2026-04-02 20:44:09.258523,2026-04-02 20:44:09.531656,True,1621.656
bd:97:72:cf:03:d2,-70,205902,2026-04-02 20:44:08.060000,2026-04-02 20:44:09.259531,2026-04-02 20:44:09.531656,True,1471.656
7e:97:1b:0d:4b:7d,-64,206002,2026-04-02 20:44:08.160000,2026-04-02 20:44:09.259531,2026-04-02 20:44:09.532664,True,1372.664
1d:a8:40:2d:17:f8,-82,206102,2026-04-02 20:44:08.260000,2026-04-02 20:44:09.260540,2026-04-02 20:44:09.533673,True,1273.673
49:1f:eb:cd:ba:d4,-77,206402,2026-04-02 20:44:08.560000,2026-04-02 20:44:09.261581,2026-04-02 20:44:09.533673,True,973.673
80:2b:17:12:45:6f,-55,206452,2026-04-02 20:44:08.610000,2026-04-02 20:44:09.261581,2026-04-02 20:44:09.534714,True,924.714
7e:97:1b:0d:4b:7d,-64,206552,2026-04-02 20:44:08.710000,2026-04-02 20:44:09.262581,2026-04-02 20:44:09.534714,True,824.714
06:18:45:30:4c:79,-76,206652,2026-04-02 20:44:08.810000,2026-04-02 20:44:09.262581,2026-04-02 20:44:09.535715,True,725.714
7e:97:1b:0d:4b:7d,-65,206852,2026-04-02 20:44:09.010000,2026-04-02 20:44:09.263647,2026-04-02 20:44:09.536780,True,526.78
49:1f:eb:cd:ba:d4,-62,206902,2026-04-02 20:44:09.060000,2026-04-02 20:44:09.264654,2026-04-02 20:44:09.536780,True,476.78
7e:97:1b:0d:4b:7d,-65,207102,2026-04-02 20:44:09.260000,2026-04-02 20:44:09.264654,2026-04-02 20:44:09.537787,True,277.787
80:2b:17:12:45:6f,-61,207302,2026-04-02 20:44:09.460000,2026-04-02 20:44:09.265663,2026-04-02 20:44:09.538796,True,78.796
7e:97:1b:0d:4b:7d,-64,207386,2026-04-02 20:44:09.544000,2026-04-02 20:44:09.266706,2026-04-02 20:44:09.538796,True,-5.204
06:18:45:30:4c:79,-77,207386,2026-04-02 20:44:09.544000,2026-04-02 20:44:09.266706,2026-04-02 20:44:09.539839,True,-4.161
57:14:14:81:01:ce,-71,207653,2026-04-02 20:44:09.811000,2026-04-02 20:44:09.515849,2026-04-02 20:44:09.787971,True,-23.029
